Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"CA Roberts, T Giesbrecht, N Fallon…",A Systematic Review and Activation Likelihood Estimation Meta-Analysis of fMRI Studies on Sweet Taste in Humans,2020,The Journal of …,academic.oup.com,https://academic.oup.com/jn/article-abstract/150/6/1619/5818446,,184,2021-03-25 18:21:59,,,,,,,,,66,2.54,33,2,26,"… Using a signal detection procedure and a microprocessor-controlled gustometer, sensitivity to three concentrations of NaCI (0.01, 0.1 and 1.0 M) was measured on the tongue tip, and on a region 3.0 cm posterior to the tongue tip in 12 young (20-29 years of age) and 12 elderly …"
21,"K Nomura, M Nakanishi, F Ishidate, K Iwata, A Taruno",All-electrical Ca2+-independent signal transduction mediates attractive sodium taste in taste buds,2020,Neuron,Elsevier,https://www.sciencedirect.com/science/article/pii/S0896627320301926?casa_token=qwKOVgSrpDMAAAAA:uZukvjpHsO4rSDnzKOGrP9feo5s6H6aEYuJgcosGo7ztaAaJaQqx1rI237IdvauKnO6AQUoExUo,"https://scholar.google.com/scholar?cites=2406035207644291198&as_sdt=2005&sciodt=0,5&hl=en",214,2021-03-25 18:21:59,HTML,,,,,,,,78,1.5,78,1,52,"… It so hap¬ pens that a small proportion, about 20%, of patients is quite unable to recognize taste solutions on the outstretched tongue, and in such an event as electrical test of taste by means of a gustometer may be decisive …"
1,"C Hu, L Yao, Z Chen, Z Sun, L Zhang, Y Wei",Assessment of gustatory function in aging people using event-related potentials,2020,NeuroReport,journals.lww.com,https://journals.lww.com/neuroreport/Fulltext/2020/06020/Assessment_of_gustatory_function_in_aging_people.2.aspx?casa_token=pmOcNNWDw3QAAAAA:gQQKmoXr4jknxSHMVnk9N4Gzszrv1ObzDJOat7-5dLNwoWLQYoNZ72U_3tVW7dmlxeYqXNybq-l7ravfLcozmwlX,"https://scholar.google.com/scholar?cites=645030439936140408&as_sdt=2005&sciodt=0,5&hl=en",178,2021-03-25 18:21:59,HTML,,,,,,,,1,0.06,0,4,18,"… stimulus presentation. II. METHODS A. Stimulus and Data Acquisition For EG stimulation in the MEG system, we used Ag/AgCl electrodes connected by twisted-pair copper wires to the electro- gustometer (Rion TR-05). An anode …"
0,"H Noh, BY Choi, H Jeong, WJ Moon, JK Kim",Diagnosis of isolated congenital anosmia using simultaneous functional magnetic resonance imaging and olfactory event-related potentials: Our experience in …,2020,Authorea Preprints,authorea.com,https://www.authorea.com/doi/pdf/10.22541/au.158921630.09730470,,74,2021-03-25 18:21:59,PDF,,,,,,,,0,0,0,1,10,"… Como era yo quien estaba en la tarea de hornear, era obvio que estaban esperando la hora en que tal error se presentaría; y ¡claro!, no pude evitar darles ese gusto. Meter las latas fue fácil; las organicé como mi lógica me iba di- ciendo y estuvo bien para Omaira …"
4,"Y Nakamura, M Imafuku, H Nakatani, A Nishida…",Difference in neural reactivity to taste stimuli and visual food stimuli in neural circuits of ingestive behavior,2020,Brain imaging and …,Springer,https://link.springer.com/article/10.1007/s11682-019-00048-0,"https://scholar.google.com/scholar?cites=266248357166824795&as_sdt=2005&sciodt=0,5&hl=en",85,2021-03-25 18:21:59,,,,,,,,,0,0,0,1,23,Page 1. ['.. . U +-' ·; Q) > +-' Q) (/) :J (*) 56 Discriminación en el acceso al empleo Críticas y comentarios a la normatividad vigente María Haydeé zegarra Aliaga<·> Alumna del noveno ciclo de la Facultad de Derecho de la Pontificia universidad católica del Perú …
0,S Vogel,Geschmacksperzeption bei Tumorpatienten,2020,,opus4.kobv.de,https://opus4.kobv.de/opus4-fau/frontdoor/index/index/docId/13268,,319,2021-03-25 18:21:59,,,,,,,,,17,1.7,6,3,10,Oral stimulation with high-tastant concentrations that are alternared with low-tastant concentrations or water rinses (pulsatile stimulation) results in taste intensity ratings that are higher than...
3,"MC Farruggia, MJ van Kooten, EE Perszyk…",Identification of a brain fingerprint for overweight and obesity,2020,Physiology & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0031938420302547?casa_token=WaroWrsSonwAAAAA:WFJdrOEBvMOyRS4zgPCE4SFNDtea8w5bE4rBFJzAfw4eP0pSdJSY4iiuI6Q8gUfU9rox9Ae-CpU,"https://scholar.google.com/scholar?cites=4129451329464894618&as_sdt=2005&sciodt=0,5&hl=en",83,2021-03-25 18:21:59,HTML,,,,,,,,0,0,0,1,9,Page 1. Aus dem Institut für Agrar- und Ernährungswissenschaften (Geschäftsführender Direktor: Prof. Dr. Reinhold Jahn) der Naturwissenschaftlichen Fakultät III (Dekan: Prof. Dr. Peter Wycisk) der Martin-Luther-Universität Halle-Wittenberg …
0,Z Garcia,"Investigating the Molecules, Cells, and Circuits for Aversive Taste Signaling",2020,,search.proquest.com,https://search.proquest.com/openview/8f630029468a476341502ab7dd5fc1db/1?pq-origsite=gscholar&cbl=18750&diss=y,,118,2021-03-25 18:21:59,,,,,,,,,1,0.02,1,1,51,"… both taste and lacrimation. Cawthorne also advocates getting the patient to sniff from a bottle of ammonia to produce lacrimation. To test for loss of taste, I use a Madsen Model GO 70 Gustometer. Electrogustometry is a new …"
0,"J Zheng, PLP Rau, J Zhao",Quantification of Natural Multimodal Interaction Capacity,2020,International Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-49788-0_20,,304,2021-03-25 18:21:59,,,,,,,,,46,0.78,15,3,59,"… There havebeen many in- stances of subjective and qualitative taste changes postoperatively. By means of a modified electronic gustometer, we com- pared changes in taste threshold before and after surgery and related them to reports of trauma to the nerve …"
0,"RM Wood, Z Garcia, N Daniels…",Selective Pe-ripheral Taste Dysfunction in APP/PS1 Mutant Transgenic Mice,2020,Journal of …,content.iospress.com,https://content.iospress.com/articles/journal-of-alzheimers-disease/jad200376,,50,2021-03-25 18:21:59,,,,,,,,,0,0,0,2,41,"… Based on their circuit we developed an electro- gustometer as well as a facial nerve stimulator in coilaboration with physics department of the Indian Institute of Technology, Kaupur, in the year 1966 and since then we have used these instruments for physiological as well as …"
6,"KR Smith, A Papantoni, MG Veldhuizen…",Taste-related reward is associated with weight loss following bariatric surgery,2020,The Journal of …,Am Soc Clin Investig,https://www.jci.org/articles/view/137772,"https://scholar.google.com/scholar?cites=12939172068703384645&as_sdt=2005&sciodt=0,5&hl=en",156,2021-03-25 18:21:59,HTML,,,,,,,,0,0,0,1,1,"… However, these contraints are easily manageable when properly trained and equipped. Devices such as olfactometers and gustometers allow the precise delivery of odors and liquids, respectively, and can be adapted to many experimental require- ments …"
2,G Coppin,The COVID-19 may help enlightening how emotional food is,2020,NPJ science of food,nature.com,https://www.nature.com/articles/s41538-020-00071-2,"https://scholar.google.com/scholar?cites=2243840114287008102&as_sdt=2005&sciodt=0,5&hl=en",174,2021-03-25 18:21:59,HTML,,,,,,,,18,2.25,6,3,8,"… Scientists have recently focused on the effect of salt delivery profiles (salt concentration varying with time) in sip-wise 5 or gustometer/Dynataste 5,6 experimental conditions … Interestingly one paper attempted to use thicker fluids in a gustometer type delivery system …"
4,"A Canna, A Prinster, M Fratello, L Puglia…",A low-cost open-architecture taste delivery system for gustatory FMRI and BCI experiments,2019,Journal of neuroscience …,Elsevier,https://www.sciencedirect.com/science/article/pii/S016502701830311X?casa_token=aKKHhBLbPkUAAAAA:o5SGi-DklGQqY-BgElSSYeWjpYPv2PhiKRn6aDCwwGNjXmYr02Bcaf2ctZOJd6vLCLdj2pJbX5Y,"https://scholar.google.com/scholar?cites=7443694973725845265&as_sdt=2005&sciodt=0,5&hl=en",33,2021-03-25 18:21:59,HTML,,,,,,,,0,0,0,1,3,"… Arousal reactions due to chemosensory stimulation were assessed by overnight polysomnography during 40 nights of testing. A specially adjusted intra-oral device, with tubes connected to a gustometer, was used to introduce taste solutions into the oral cavity during sleep …"
