Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3,"P Crino, S Galetta",The trigeminal nerve,1999,Textbook of Clinical Neurology,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/a759/c33564ed558b6cafb143848ab8812544954b.pdf#page=175,"https://scholar.google.com/scholar?cites=14044518266655227767&as_sdt=2005&sciodt=0,5&hl=en",69,2021-03-25 18:34:34,PDF,,,,,,,,3,0.14,2,2,22,"… MRI) renders TABLE 10-2--USEFUL STUDIES IN THE EVALUATION OF THE TRIGEMINAL NERVE Syndrome Neuroimaging Eleetrophysiology Fluid and … and systemic lupus erythematosus.[ 28],[29] Symptoms including facial dysesthesias, numbness, and loss of taste may be …"
394,"S Hamdy, JC Rothwell, DJ Brooks…",Identification of the Cerebral Loci Processing Human Swallowing With H2 15O PET Activation,1999,Journal of …,journals.physiology.org,https://journals.physiology.org/doi/abs/10.1152/jn.1999.81.4.1917,"https://scholar.google.com/scholar?cites=5602702872183703341&as_sdt=2005&sciodt=0,5&hl=en",10,2021-03-25 18:34:34,,,,,,,,,394,17.91,99,4,22,Login to your account. Institutional Login. Sign In / Register. PHYSIOLOGY.ORG Skip main navigation Close Drawer MenuOpen Drawer Menu Home: Journals: AJP-Cell; AJP-Endo; AJP-GI; AJP-Heart; AJP-Lung; AJP-Regu; AJP-Renal; …
0,"JK Brown, RA Minns",THE NEUROLOGICAL SUBSTRATE OF LEARNING,1999,A Neurodevelopmental Approach to …,books.google.com,https://books.google.com/books?hl=en&lr=&id=KcsS2OGq8wsC&oi=fnd&pg=PA24&dq=peristaltic+pump+taste+neuroimaging+-rats+-rodents&ots=AMeIz45jK2&sig=XsQqbAFEGd6NBpSAjvk6U0vWAB0,,73,2021-03-25 18:34:34,,,,,,,,,0,0,0,2,22,"… One can measure light, sound, and the chemicals of smell and taste with scientific instruments and … The heart can be likened to a pump, the lungs, to bellows, and the kidney, to … mood and the feeling of emotion, and an autonomic component to do with peristalsis, respiration, and …"
50,"A Del Parigi, K Chen, AD Salbe, JF Gautier…",Tasting a liquid meal after a prolonged fast is associated with preferential activation of the left hemisphere,2002,…,journals.lww.com,https://journals.lww.com/neuroreport/Fulltext/2002/07020/Human_cortical_gustatory_areas__A_review_of.14.aspx?casa_token=zoYaNqUvuecAAAAA:xZuCZia2EsG4pfpA91NTTvM5eLxEqllSMgR6J5nIMYWVCT4Vl2TwiqVzr145iS92myd4b6NZQVln8Iuh65ruq04m,"https://scholar.google.com/scholar?cites=16258586412607315544&as_sdt=2005&sciodt=0,5&hl=en",3,2021-03-25 18:34:34,HTML,,,,,,,,50,2.63,10,5,19,We used positron emission tomographic scanning of the brain and measures of regional cerebral blood.
103,"C Fraser, J Rothwell, M Power…","Differential changes in human pharyngoesophageal motor excitability induced by swallowing, pharyngeal stimulation, and anesthesia",2003,American Journal …,journals.physiology.org,https://journals.physiology.org/doi/abs/10.1152/ajpgi.00399.2002,"https://scholar.google.com/scholar?cites=5821956431985390441&as_sdt=2005&sciodt=0,5&hl=en",21,2021-03-25 18:34:34,,,,,,,,,103,5.72,26,4,18,"… The infusion line was connected to a peristaltic pump (HR Flow Inducer; Watson-Marlowe, Falmouth, England), allowing continuous water infusion at a rate of 60 ml/min, thus maintaining a constant bolus volume per swallow of 5 ml when subjects swallowed at a fixed frequency …"
18,"CL Frissora, KL Koch",The role of gender and biological sex in irritable bowel syndrome,2005,Current gastroenterology reports,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11894-005-0017-x&casa_token=-iq_5hMcHM8AAAAA:tZyw6mKRZSQl7gejgxsKWC_1DJm8E1sFZeEoYcv2qgHQAUPJa4MvdDQr5Gz7xr0RmEpiojFIWWoiYLlc1g,"https://scholar.google.com/scholar?cites=8780483771056465989&as_sdt=2005&sciodt=0,5&hl=en",25,2021-03-25 18:34:34,,,,,,,,,18,1.13,9,2,16,"… symptoms, there was a higher rate of nausea, alterations in taste and smell … CNS, as well as gut motility), and 5-HT4 (augments peristalsis and intestinal … cancer Medications Contraceptives Beta-blockers ACE inhibitors Antibiotics Chemotherapy Proton pump inhibitors NSAIDs …"
141,"DSNT Le, N Pannacciulli, K Chen…",Less activation in the left dorsolateral prefrontal cortex in the reanalysis of the response to a meal in obese than in lean women and its association with successful …,2007,… American journal of …,academic.oup.com,https://academic.oup.com/ajcn/article-abstract/86/3/573/4649381,"https://scholar.google.com/scholar?cites=2096377436504448725&as_sdt=2005&sciodt=0,5&hl=en",15,2021-03-25 18:34:34,,,,,,,,,141,10.07,35,4,14,Abstract. Background: We previously found that obese men have less activation in the left dorsolateral prefrontal cortex (LDLPFC) in response to a meal than do.
0,"PAM Smeets, PLG Weijzen, C de Graaf…",Caloric and non-caloric versions of a soft drink differentially affect taste activation before consumption,2009,Proc. Intl. Soc. Mag …,cds.ismrm.org,https://cds.ismrm.org/protected/09MProceedings/files/03694.pdf,,4,2021-03-25 18:34:34,,,,,,,,,0,0,0,4,12,"… sweetened with non-caloric sweeteners), delivered to the mouth by a peristaltic pump at an … During scanning, subjects tasted orangeade and two control stimuli (milk and tomato juice) for … drink and suggest that sensory and metabolic satiation differentially affect taste activation …"
73,"AH Lara, SW Kennerley, JD Wallis",Encoding of gustatory working memory by orbitofrontal neurons,2009,Journal of Neuroscience,Soc Neuroscience,https://www.jneurosci.org/content/29/3/765.short,"https://scholar.google.com/scholar?cites=4140366434705515165&as_sdt=2005&sciodt=0,5&hl=en",18,2021-03-25 18:34:34,,,,,,,,,73,6.08,24,3,12,
34,"DSNT Le, K Chen, N Pannacciulli, M Gluck…",Reanalysis of the obesity-related attenuation in the left dorsolateral prefrontal cortex response to a satiating meal using gyral regions-of-interest,2009,Journal of the …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/07315724.2009.10719799?casa_token=ju6PTn-gzZUAAAAA:gUdEtLIThItgOWethcnLh58X2qw4zN3Gdz9YyTP_Z6vhK-UeLDNgWEiMUtqw2HwHpsJDvvjxD7r_3g,"https://scholar.google.com/scholar?cites=16951509227228528310&as_sdt=2005&sciodt=0,5&hl=en",11,2021-03-25 18:34:34,,,,,,,,,34,2.83,7,5,12,"… daily resting energy expenditure, was administered orally over 25 minutes using a peristaltic pump (IMED 980 … GautierJFChenKSalbeADRavussinEReimanETataranniPA: Neuroimaging and obesity … McConahaCVogelVKayeWH: Neural correlates of habituation to taste stimuli in …"
0,S Baby,Study of health anxity and stress related symptoms among diabetic hypertensive and coronary artery diseaes (CAD) patients,2010,,ir.amu.ac.in,http://ir.amu.ac.in/13439/1/T7311.pdf,,98,2021-03-25 18:34:34,PDF,,,,,,,,0,0,0,1,11,"… The preoccupation with hypochondriasis may be symptom based, with a focus on bodily functions (eg, heartbeat, sweating, peristalsis), minor physical abnormalities (eg, a small sore or an occasional cough), or vague and ambiguous physical sensations (eg, “tired …"
2,A Del Parigi,Neuroanatomical Correlates of Hunger and Satiaty in Lean and Obese Individuals,2010,Obesity prevention,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780123743879000209,"https://scholar.google.com/scholar?cites=12636594767030141559&as_sdt=2005&sciodt=0,5&hl=en",9,2021-03-25 18:34:34,,,,,,,,,2,0.18,2,1,11,"… from the external environment, either sensorial (such as the sight, smell or taste of food) or … This apparatus was then connected to a peristaltic pump (IMED 980, Imed, San Diego, CA), set to … JF, Chen K., Salbe AD, Ravussin E., Reiman E., Tataranni PANeuroimaging and obesity …"
93,C de Graaf,Why liquid energy results in overconsumption,2011,Proceedings of the Nutrition Society,cambridge.org,https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society/article/why-liquid-energy-results-in-overconsumption/CF1F368BDC27A8871DC82040656FCE90,"https://scholar.google.com/scholar?cites=13419634315987146292&as_sdt=2005&sciodt=0,5&hl=en",12,2021-03-25 18:34:34,,,,,,,,,93,9.3,93,1,10,"… This was done with the help of peristaltic pumps, which eliminated the effort to get the milk … through the five senses involved in food perception, ie the senses of vision, taste, smell, touch … no effort, subjects consumed the product from a tube making use of a peristaltic pump; in this …"
0,KD White,A comparison of vibrotactile and air puff stimulation for inducing swallowing,2012,,commons.lib.jmu.edu,https://commons.lib.jmu.edu/cgi/viewcontent.cgi?article=1070&context=diss201019&httpsredir=1&referer=,,45,2021-03-25 18:34:34,PDF,,,,,,,,0,0,0,1,9,"… In the final phase, the esophageal phase, the bolus enters the upper esophageal sphincter and a peristaltic wave action moves the bolus through the esophagus … Neuroimaging and clinic findings … Air Puff and Vibrotactile Stimulation 6 (odor or taste), and nociceptors (pain) …"
5,A Burbidge,16 Design of Food Structure for Enhanced Oral Experience,2012,Food Oral Processing: Fundamentals of Eating and …,books.google.com,https://books.google.com/books?hl=en&lr=&id=hDG3LqTpPoUC&oi=fnd&pg=PA357&dq=peristaltic+pump+taste+neuroimaging+-rats+-rodents&ots=at_2W6H2lM&sig=o5N256c5uX-7Kp52kvQjiQdmj6c,"https://scholar.google.com/scholar?cites=3662803772852952406&as_sdt=2005&sciodt=0,5&hl=en",59,2021-03-25 18:34:34,,,,,,,,,5,0.56,5,1,9,"… If we consider the classical five senses of vision, hearing, taste, smell and touch, it is clear that they all provide information about food, both before and during the eating 1This is not a universal practice, so it would be dangerous to assume that this convention applies to other …"
2,M Coffey,"A comparison of Fiberoptic Endoscopic Evaluation and Videofluoroscopy in post laryngectomy swallowing, and swallow and voice evaluation with different voice …",2013,,spiral.imperial.ac.uk,https://spiral.imperial.ac.uk/handle/10044/1/17853,"https://scholar.google.com/scholar?cites=13921912647472871669&as_sdt=2005&sciodt=0,5&hl=en",93,2021-03-25 18:34:34,,,,,,,,,2,0.25,2,1,8,"… upper oesophageal wave prevents the bolus from refluxing back into the pharynx. Postlaryngectomy myotomy has the effect of reducing the upper oesophageal peristaltic wave force. Furthermore, this procedure creates an air reservoir at the top …"
21,"MS Spetter, C de Graaf, M Mars, MA Viergever…","The sum of its parts—effects of gastric distention, nutrient content and sensory stimulation on brain activation",2014,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090872,"https://scholar.google.com/scholar?cites=314485063698712674&as_sdt=2005&sciodt=0,5&hl=en",5,2021-03-25 18:34:34,HTML,,,,,,,,21,3,4,5,7,"… week, or any diseases (including neurological and psychiatric diseases, and taste and smell … The loads were administered with a computer-controlled peristaltic pump (323DU, Watson-Marlow Ltd … Ingestion was driven by a computer-controlled pump (as described in the stimulus …"
0,LC Kazadi,The effects of gastric and homeostatic autonomic afferent reflexes on cardiac autonomic efferent activity in healthy human volunteers,2015,,wlv.openrepository.com,https://wlv.openrepository.com/handle/2436/600498,,94,2021-03-25 18:34:34,,,,,,,,,0,0,0,1,6,Page 1. 1 THE EFFECTS OF GASTRIC AND HOMEOSTATIC AUTONOMIC AFFERENT REFLEXES ON CARDIAC AUTONOMIC EFFERENT ACTIVITY IN HEALTHY HUMAN VOLUNTEERS Lubobo-Claude Kazadi A thesis submitted …
792,"V Stanghellini, FKL Chan, WL Hasler, JR Malagelada…",Gastroduodenal disorders,2016,Gastroenterology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0016508516001773?casa_token=vyU_xUMVc70AAAAA:ClOo5-C8clD-LoGKIie8wHM6A5HRCSant_CO1q0KwuoTv-vRjEn88VB_Psp_STmRYdNyvwtIlI4,"https://scholar.google.com/scholar?cites=4787347849268548718&as_sdt=2005&sciodt=0,5&hl=en",24,2021-03-25 18:34:34,HTML,,,,,,,,792,158.4,158,5,5,"… 24 Neuroimaging studies suggest that symptom perception can be influenced by cognition and emotion … Proton pump inhibitors are ineffective in relieving PDS symptoms … Through esophageal peristalsis and LES relaxation, this air is transported to the stomach along with the rest …"
245,"R Wirth, R Dziewas, AM Beck, P Clave…",Oropharyngeal dysphagia in older persons–from pathophysiology to adequate intervention: a review and summary of an international expert meeting,2016,… interventions in aging,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4770066/,"https://scholar.google.com/scholar?cites=11636571190874224224&as_sdt=2005&sciodt=0,5&hl=en",53,2021-03-25 18:34:34,HTML,,,,,,,,245,49,49,5,5,
6,"A De-La-Fuente-Blanco, P Fernández-Zurbano…",Cross-modal interactions and effects of the level of expertise on the perception of bitterness and astringency of red wines,2017,Food Quality and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0950329317301647?casa_token=i7VejumQ-ZIAAAAA:1lmRjdBjyLju3GCMw068lR21lRCzOm0u0qJFWOra6NN7jJhLqiXn-kSjHkRQPyIN5wDdy0NPExs,"https://scholar.google.com/scholar?cites=3378021683472727935&as_sdt=2005&sciodt=0,5&hl=en",16,2021-03-25 18:34:34,HTML,,,,,,,,6,1.5,2,3,4,"… The flow rate was regulated at 4 mL min −1 using a peristaltic pump … no significant effect of any aroma vector (vegetal, herbal, spicy, roasted, animal, dried fruit) or tastes (sour or … Table 2 shows the significant effects of the addition of aroma vectors or taste stimuli on wines with …"
13,"HG Ly, P Dupont, K Van Laere, I Depoortere, J Tack…",Differential brain responses to gradual intragastric nutrient infusion and gastric balloon distension: A role for gut peptides?,2017,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811916304955?casa_token=k9pCHOo9od8AAAAA:mAZjQwD2AyyR9v0qgdCj-mJLlsAi7aYzAdwkbQndt6PUJW4rKNmnesn7BFuRkaiTlcAexZ3x064,"https://scholar.google.com/scholar?cites=2569644846172159786&as_sdt=2005&sciodt=0,5&hl=en",14,2021-03-25 18:34:34,HTML,,,,,,,,13,3.25,2,6,4,"… Volume 144, Part A, 1 January 2017, Pages 101-112. NeuroImage … After a 15 min adaptation period, the nutrient drink (13% proteins, 48% carbohydrates, 39% lipids; Nutridrink™; Nutricia, Bornem, Belgium) was administered into the stomach by a peristaltic pump, which was …"
0,KLMA Silva-Smith,"Management of Common Illnesses, Diseases, and Health Conditions",2017,Gerontological Nursing: Competencies for …,books.google.com,https://books.google.com/books?hl=en&lr=&id=M1KSDgAAQBAJ&oi=fnd&pg=PA305&dq=peristaltic+pump+taste+neuroimaging+-rats+-rodents&ots=BX0z1HKxAF&sig=yzbTqZl2yvfXNRYfDcHYTFG5xY0,,95,2021-03-25 18:34:34,,,,,,,,,0,0,0,1,4,… poststroke recovery Meniere's syndrome Metastasis Myocardial infarction Osteoporosis Otoconia Parkinson's disease Peripheral artery disease Peripheral vascular disease Phantom limb pain Proliferative retinopathy Prostate-specific antigen Proton pump inhibitors Radiation …
0,KMA Alhussain,Swallowing changes in people with Parkinson's in Saudi Arabia: perceptions and practices,2017,,theses.ncl.ac.uk,http://theses.ncl.ac.uk/jspui/handle/10443/3732,,67,2021-03-25 18:34:34,,,,,,,,,0,0,0,1,4,"… For example, constipation and compromised smell and taste have been reported in patients prior to diagnosis (Breen and Drutyte, 2013) … recent advances in neurosurgery and neuroimaging (De Chazeron et al., 2016) . Types of …"
0,F Mozzanica,"Swallowing, nutritional status and hydration in acute and sub-acute care settings: implications on survival and aspiration pneumonia",2018,,air.unimi.it,https://air.unimi.it/handle/2434/545472,,79,2021-03-25 18:34:34,,,,,,,,,0,0,0,1,3,"… peristalsis, a mechanism mainly related to intrinsic nerve plexuses in the esophagus … include prolonged oral preparation time, tongue pumping due to difficulty in … mechanism powered by a two pump system, the oropharyngeal propulsion …"
10,"CT Vi, D Arthur, M Obrist",TasteBud: bring taste back into the game,2018,… of the 3rd International Workshop on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3279954.3279955,"https://scholar.google.com/scholar?cites=3839730661399002326&as_sdt=2005&sciodt=0,5&hl=en",2,2021-03-25 18:34:34,,,,,,,,,10,3.33,3,3,3,"… Each bottle is controlled by a peristaltic pump (Figure 2b) to push the taste liquid from the bottle into a … taste chamber by pumping it up after each taste delivery … Figure 1c shows the message format, sent by the controlling application to TasteBud, specifying which pump(s) to …"
